Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2022-05-01,2023-04-30,6774G010000,VALVE,36,21496,1,0.046520283,0.040807125,0,0,0,0,0,1,100,21496,21496,100,1299,,,,,
Own Configuration,2022-06-01,2023-05-31,6774G010000,VALVE,36,22799,1,0.043861573,0.055930929,0,0,0,0,0,1,100,22799,19613.75963,116.2398257,1299,,,,,
Own Configuration,2022-07-01,2023-06-30,6774G010000,VALVE,36,24082,1,0.04152479,0.065756312,0,0,0,0,0,1,100,24082,19236.54789,125.188782,1299,,,,,
Own Configuration,2022-08-01,2023-07-31,6774G010000,VALVE,36,25200,1,0.03968254,0.072537603,0,0,0,0,0,1,100,25200,18990.98308,132.6945524,1299,,,,,
Own Configuration,2022-08-01,2023-07-31,80-178-03-88013,LGCIU,32,65258,1,0.015323792,0.013441876,0,0,0,0,0,1,100,65258,65258,100,574,,,,,
Own Configuration,2021-11-01,2022-10-31,822-0297-020,RECEIVER,34,61540,1,0.016249594,0.019211236,0,0,0,0,0,1,100,61540,61540,100,111,,,,,
Own Configuration,2021-12-01,2022-11-30,822-0297-020,RECEIVER,34,62023,1,0.016123051,0.024652022,0,0,0,0,0,1,100,62023,60842.28542,101.9406151,111,,,,,
Own Configuration,2022-08-01,2023-07-31,822-0297-020,RECEIVER,34,87255,1,0.011460661,0.027781757,0,0,0,0,0,1,100,87255,35005.72258,249.2592455,111,,,,,
Own Configuration,2022-05-01,2023-04-30,822-0297-020,RECEIVER,34,90586,1,0.011039233,0.030659481,0,0,0,0,0,1,100,90586,38237.84738,236.9014111,111,,,,,
Own Configuration,2022-06-01,2023-05-31,822-0297-020,RECEIVER,34,91376,1,0.010943793,0.030205713,0,0,0,0,0,1,100,91376,34395.14406,265.6654086,111,,,,,
